question_id,answer_type,definition_1,definition_2,definition_3,definition_4,definition_5,definition_6,definition_7,definition_8,question_type,question
eval1_1,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to define 'science communication'.
eval1_2,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to identify some of the challenges of communicating about science.
eval1_3,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to understand the importance of identifying target audiences for science communication. 
eval1_4,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to tailor messages about science that consider the target audience.
eval1_5,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to understand the impact of effective communication about science.
eval2_1,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to describe challenges related to science communication on online platforms.
eval2_2,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to identify a target audience for communicating science online.
eval2_3,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,"I am able to communicate science in different contexts online (e.g., Twitter, blog posts)."
eval2_4,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to communicate science in ways that are visually appealing to my target audience.
eval2_5,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to develop a social media strategy to communicate science.
eval3_1,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to explain similarities between informal and formal science education.
eval3_2,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to align my science communication goals with appropriate environments and audiences.
eval3_3,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to assess the strengths and weaknesses of informal science learning programs.
eval3_4,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,"I am able to facilitate the informal science learning event, Eight-Legged Encounters."
eval3_5,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to reflect upon and learn from informal science education experiences.
eval3_5_post_51,Yes/No,Yes,No,,,,,,,Experience,"Have you taken an arachnology course (e.g., UNL's BIOS 480/880)?"
eval3_6_post_52,Yes/No,Yes,No,,,,,,,Experience,"Have you participated in arachnid-related research (e.g., as part of an undergraduate or graduate research project)?"
eval4_1,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to understand the Youth Program Quality Assessment (YPQA) focus areas.
eval4_2,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to develop after-school club activities with YPQA in mind.
eval4_3,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to communicate science concepts in a way youth will understand.
eval4_4,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to develop science-related activities for after-school program clubs that will be engaging for youth.
eval4_5,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Training Efficacy,I am able to use techniques to ensure youth engagement throughout after-school club activities.
prepost3_1,Yes/No,Yes,,,,,,,,Experience,"Before NESA, have you ever attended training or taken classes on any of the following topics? Check all that apply. Science communication."
prepost3_2,Yes/No,Yes,,,,,,,,Experience,"Before NESA, have you ever attended training or taken classes on any of the following topics? Check all that apply. Informal science learning."
prepost3_3,Yes/No,Yes,,,,,,,,Experience,"Before NESA, have you ever attended training or taken classes on any of the following topics? Check all that apply. After-school STEM education."
prepost4_1,User Entered Phrase,,,,,,,,,Thoughts Toward Science Communication,"What are three words or phrases (2-3 words) that come to mind when you hear ""science communication""? - #1"" "
prepost4_2,User Entered Phrase,,,,,,,,,Thoughts Toward Science Communication,"What are three words or phrases (2-3 words) that come to mind when you hear ""science communication""? - #2"" "
prepost4_3,User Entered Phrase,,,,,,,,,Thoughts Toward Science Communication,"What are three words or phrases (2-3 words) that come to mind when you hear ""science communication""? - #3"" "
prepost7_1,Level of Agreement,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,,,,Before/After Attitude,Engaging in science communication improves my self worth.
