"recipient_id","question_id","question","answer_type","definition_1","definition_2","definition_3","definition_4","definition_5","definition_6","definition_7","answer"
24,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
47,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",3
74,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4
68,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
58,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
26,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",3
57,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
61,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",7
5,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
31,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4
40,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
36,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",6
71,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
48,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",4
1,"post27","Participating in these workshops and activities has changed my attitudes toward spiders.","Level of Agreement","Strongly disagree","Disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Agree","Strongly agree",5
