"recipient_id","iteration","answer_count"
1,"Spring 2022","3"
2,"Spring 2023","3"
4,"Spring 2023","3"
5,"Spring 2022","4"
6,"Spring 2023","3"
11,"Spring 2023","3"
14,"Fall 2022","3"
15,"Fall 2022","4"
18,"Fall 2022","3"
20,"Fall 2022","3"
21,"Fall 2022","3"
23,"Spring 2023","3"
24,"Spring 2022","4"
25,"Fall 2022","3"
26,"Spring 2022","4"
27,"Spring 2022","4"
28,"Spring 2023","3"
30,"Fall 2022","3"
31,"Spring 2022","4"
32,"Spring 2022","3"
33,"Spring 2023","3"
34,"Spring 2023","3"
35,"Spring 2023","2"
36,"All","10"
37,"Spring 2023","3"
38,"Spring 2022","4"
40,"Spring 2022","4"
41,"Fall 2022","4"
43,"Spring 2022","4"
44,"Spring 2022","3"
45,"Spring 2022","4"
46,"Spring 2023","3"
47,"Spring 2022","4"
48,"Spring 2022","4"
49,"Spring 2022","4"
51,"Spring 2023","3"
52,"Spring 2023","3"
53,"Spring 2022","4"
54,"Spring 2022","4"
55,"Spring 2022","4"
57,"Spring 2022","4"
58,"Spring 2022","4"
60,"Spring 2022","4"
61,"Spring 2022","4"
62,"Spring 2022","4"
63,"Spring 2023","3"
64,"Spring 2023","3"
65,"Spring 2022","4"
66,"Spring 2022","4"
67,"Fall 2022","3"
68,"Spring 2022","4"
71,"Spring 2022","4"
72,"Spring 2023","3"
73,"Spring 2022","4"
74,"Spring 2022","4"
75,"Spring 2023","3"
76,"Spring 2022","4"
78,"Spring 2023","3"
81,"Fall 2022","3"
82,"Fall 2022","4"
83,"Spring 2022","4"
84,"Spring 2023","3"
85,"Spring 2022","4"
86,"Spring 2023","3"
87,"Spring 2022","3"
88,"Spring 2023","2"
89,"Spring 2023","4"
90,"Spring 2022","4"
93,"Fall 2022","4"
96,"Spring 2022","4"
103,"Spring 2022","3"
106,"Fall 2022","4"
108,"Spring 2023","1"
