"recipient_id","iteration","question_id","question","definition_1","answer"
24,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
24,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
24,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
24,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
24,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
47,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
47,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
47,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
47,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
47,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",NULL
74,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
74,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
74,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
74,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
74,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
68,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
68,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
68,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
68,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
68,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
58,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
58,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
58,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
58,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
58,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
26,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
26,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
26,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
26,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
26,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
57,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
57,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
57,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
57,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
57,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
61,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
61,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
61,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
61,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
61,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
5,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
5,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
5,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
5,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
5,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
31,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
31,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
31,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
31,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
31,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",NULL
40,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
40,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
40,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
40,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
40,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
36,"All","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
36,"All","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
36,"All","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
36,"All","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
36,"All","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
71,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
71,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
71,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
71,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
71,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
48,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
48,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
48,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
48,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
48,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",NULL
1,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
1,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
1,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
1,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",NULL
1,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
32,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
32,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
32,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
32,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",NULL
32,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",1
44,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
44,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
44,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",NULL
44,"Spring 2022","participation4","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 4: After School Clubs and Working with Youth (NOT OFFERED IN SPRING 2023).","Yes",1
44,"Spring 2022","participation5","Please indicate which of the following workshops and events you have attended. Select all that apply. Eight-Legged Encounters Event.","Yes",NULL
73,"Spring 2022","participation1","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 1: Overview of Science Communication ","Yes",1
73,"Spring 2022","participation2","Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 2: Online Science Communication and Social Media.","Yes",1
73,"Spring 2022","participation3"," Please indicate which of the following workshops and events you have attended. Select all that apply. Workshop 3: Informal Science Learning / Eight-Legged Encounters.","Yes",1
