"recipient_id","iteration","question_id","question","answer_type","definition_1","definition_2","definition_3","definition_4","definition_5","pre_answer","post_answer"
45,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
88,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,5
55,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",1,4
4,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",2,3
34,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,5
67,"Fall 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,3
36,"All","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
36,"All","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
36,"All","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,2
60,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,3
5,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,3
87,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,3
36,"All","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",2,2
75,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
25,"Fall 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
61,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
71,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,5
64,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",5,5
43,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
86,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
65,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
49,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
74,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
36,"All","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",2,4
32,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,3
52,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
11,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",2,4
83,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
106,"Fall 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,3
90,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
26,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
36,"All","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",2,4
89,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,5
30,"Fall 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
36,"All","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",1,4
36,"All","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",1,4
36,"All","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",1,2
44,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,3
35,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
57,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
96,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
24,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
108,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,3
37,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",5,5
20,"Fall 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,3
81,"Fall 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
23,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,5
54,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",4,4
1,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
15,"Fall 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",5,4
21,"Fall 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
78,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",3,4
84,"Spring 2023","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",2,4
53,"Spring 2022","prepost10","How good are you at science communication? ","Scale","Not at all good",NULL,NULL,NULL,"Very good",5,5
