"recipient_id","question_id","question","answer_type","definition_1","definition_2","definition_3","definition_4","definition_5","answer"
24,"post26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5
24,"post26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5
24,"post26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5
24,"post26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5
24,"post26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5
24,"post26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5
24,"post26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5
47,"post26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3
47,"post26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3
47,"post26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3
47,"post26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",3
47,"post26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4
47,"post26_6","People should use fewer chemicals in order to allow spiders to live.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4
47,"post26_7","I would like to watch a spider constructing its web.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",4
74,"post26_1","I would like to read more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5
74,"post26_2","I would like to know more about spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5
74,"post26_3","I would like to know more about how scientists study spiders.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5
74,"post26_4","Greater attention should be given to spider protection.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5
74,"post26_5","Spiders are interesting animals.","Level of Agreement","Strongly disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree",5
